RepoName;TravisFullPath;TravisFileGitURL
uchicago-cs/deepdish;D:/PhD Work/repos/applied/uchicago-cs/deepdish/.travis.yml;https://github.com/uchicago-cs/deepdish/blob/master/.travis.yml
ml-libs/mlserve;D:/PhD Work/repos/applied/ml-libs/mlserve/.travis.yml;https://github.com/ml-libs/mlserve/blob/master/.travis.yml
almond-sh/almond;D:/PhD Work/repos/applied/almond-sh/almond/.travis.yml;https://github.com/almond-sh/almond/blob/master/.travis.yml
messense/fasttext-rs;D:/PhD Work/repos/applied/messense/fasttext-rs/.travis.yml;https://github.com/messense/fasttext-rs/blob/master/.travis.yml
bduggan/p6-jupyter-kernel;D:/PhD Work/repos/applied/bduggan/p6-jupyter-kernel/.travis.yml;https://github.com/bduggan/p6-jupyter-kernel/blob/master/.travis.yml
reiinakano/arbitrary-image-stylization-tfjs;D:/PhD Work/repos/applied/reiinakano/arbitrary-image-stylization-tfjs/.travis.yml;https://github.com/reiinakano/arbitrary-image-stylization-tfjs/blob/master/.travis.yml
HaliteChallenge/Halite-II;D:/PhD Work/repos/applied/HaliteChallenge/Halite-II/.travis.yml;https://github.com/HaliteChallenge/Halite-II/blob/master/.travis.yml
LaurentMazare/ocaml-torch;D:/PhD Work/repos/applied/LaurentMazare/ocaml-torch/.travis.yml;https://github.com/LaurentMazare/ocaml-torch/blob/master/.travis.yml
polyaxon/polyaxon-schemas;D:/PhD Work/repos/applied/polyaxon/polyaxon-schemas/.travis.yml;https://github.com/polyaxon/polyaxon-schemas/blob/master/.travis.yml
oval-group/mlogger;D:/PhD Work/repos/applied/oval-group/mlogger/.travis.yml;https://github.com/oval-group/mlogger/blob/master/.travis.yml
FluxML/FluxJS.jl;D:/PhD Work/repos/applied/FluxML/FluxJS.jl/.travis.yml;https://github.com/FluxML/FluxJS.jl/blob/master/.travis.yml
IBM/powerai-market-sentiment;D:/PhD Work/repos/applied/IBM/powerai-market-sentiment/.travis.yml;https://github.com/IBM/powerai-market-sentiment/blob/master/.travis.yml
WladimirSidorenko/CRFSuite;D:/PhD Work/repos/applied/WladimirSidorenko/CRFSuite/.travis.yml;https://github.com/WladimirSidorenko/CRFSuite/blob/master/.travis.yml
IBM/MAX-Speech-to-Text-Converter;D:/PhD Work/repos/applied/IBM/MAX-Speech-to-Text-Converter/.travis.yml;https://github.com/IBM/MAX-Speech-to-Text-Converter/blob/master/.travis.yml
arm61/pylj;D:/PhD Work/repos/applied/arm61/pylj/.travis.yml;https://github.com/arm61/pylj/blob/master/.travis.yml
