name,num
windows then,"[4.754537920680644, 0.001013523062697102, 0.004818833835077757]"
visual studio2017buildtoolsmsbuild150bin,"[10.783522600716692, 0.0004421544835272218, 0.004767982866124012]"
brew outdated,"[6.478637459118772, 0.0007349051689676197, 0.004761184156573632]"
outdated brew,"[6.478637459118772, 0.0007349051689676197, 0.004761184156573632]"
capture outputfile,"[11.023131157629676, 0.00043004066206072257, 0.004740394621009245]"
ticcutils bash,"[7.763763711672322, 0.0005996341625917117, 0.004655417951808552]"
buildnumber branch,"[9.155537101244413, 0.000506761531348551, 0.004639674001745092]"
cxxcompilerclang generatorname,"[9.81204041236646, 0.0004684010967046368, 0.004595970490062666]"
file done,"[9.028915828735343, 0.0005087805015929675, 0.0045937363241846515]"
gitlfs doxygen,"[10.340520092901869, 0.0004421544835272218, 0.0045721073210798855]"
madararootbinnetworkprofiler i,"[10.284953723794661, 0.00044417345377163834, 0.004568303417379347]"
env scanecho,"[5.2111858591011035, 0.0008762330860767773, 0.0045662134674398225]"
path usrlibccachebin,"[7.593205810443202, 0.0005996341625917117, 0.004553145607531629]"
brew update,"[4.810924311124179, 0.000934783223164857, 0.004497171333954829]"
projectstarterkitsc cc,"[8.763130811885517, 0.0005128184420818006, 0.004493895090710155]"
lfs fetch,"[10.143161861336445, 0.0004421544835272218, 0.004484844494132229]"
bundle exec,"[7.030829871525167, 0.0006359756269912094, 0.004471436435811742]"
gcc g,"[5.053038016613648, 0.0008843089670544436, 0.00446844682895845]"
ccompilerclang cxxcompilerclang,"[9.536405969753034, 0.0004684010967046368, 0.004466863014852966]"
generatorname xcode,"[9.480196848614018, 0.0004684010967046368, 0.0044405346008666476]"
https githubcomlanguagemachinesticcutils,"[7.382673544316816, 0.0005996341625917117, 0.004426903268434398]"
jekyll build,"[6.94389289831199, 0.0006359756269912094, 0.004416146639763774]"
else travislinuxgenericsh,"[9.978369706622924, 0.0004421544835272218, 0.004411980904075534]"
travislinuxinstallersh else,"[9.978369706622924, 0.0004421544835272218, 0.004411980904075534]"
config set,"[9.885360852050866, 0.00044619242401605484, 0.004410773120849989]"
bundler bundle,"[9.851859730479848, 0.00044619242401605484, 0.0043958251742089605]"
lcov directory,"[9.118129938487126, 0.000480514918171136, 0.004381397461265927]"
branch message,"[8.588496508520521, 0.000506761531348551, 0.004352319642639543]"
denableccacheoff codecoverage1,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
denablecoverageon denableccacheoff,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
he caused,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
homeshogunbuild denabletestingon,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
ircfreenodeorg shogun,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
massacre he,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
next round,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
of drinks,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
perl pe,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
