name,num
then n echo,"[8.91361480501449, 0.0011548509798062596, 0.010293896791186564]"
linux dist xenial,"[13.055568615442738, 0.0007873983953224497, 0.010279933777821748]"
if installtest true,"[11.513398946313288, 0.0008843089670544436, 0.010181401929500022]"
os linux compiler,"[8.572037052348925, 0.0011831165632280912, 0.010141719017238917]"
repositoryslug buildnumber branch,"[19.859166901381265, 0.000506761531348551, 0.010063861830250428]"
c program files,"[17.771573461255333, 0.0005632926981922141, 0.01001059756611166]"
beforeinstall curl lo,"[17.257438537747277, 0.0005774254899031298, 0.009964884902131873]"
compilerclang ccompilerclang osximage,"[17.167825302043063, 0.0005794444601475464, 0.009947801264049731]"
githubcomlanguagemachinesticcutils cd ticcutils,"[16.564094602275574, 0.0005996341625917117, 0.009932396995925406]"
beforeinstall if travisosname,"[10.121250064560165, 0.0009751626280531877, 0.009869864812139986]"
y ppa ubuntutoolchainrtest,"[16.458265657290035, 0.0005996341625917117, 0.009868938345121038]"
if travisosname windows,"[11.049288943677723, 0.0008923848480321097, 0.009860218034866714]"
gcc g make,"[11.150010244930023, 0.0008843089670544436, 0.009860054042340532]"
git push verbose,"[17.038666959918075, 0.0005774254899031298, 0.009838560616626966]"
buildurl skipjoin true,"[16.398531816232083, 0.0005996341625917117, 0.009833119893359867]"
projectstarterkitsc cc ccompile,"[19.10743254532981, 0.0005128184420818006, 0.009798643790079128]"
buildnumber branch message,"[19.292126308657373, 0.000506761531348551, 0.009776507471144879]"
curl lo https,"[16.912605179909296, 0.0005774254899031298, 0.009765769331547335]"
n withclangurlhttp rootcernchgitclanggit,"[16.858842965671133, 0.0005774254899031298, 0.009734725658652587]"
rootcernchgitclanggit n withcmakeflags,"[16.858842965671133, 0.0005774254899031298, 0.009734725658652587]"
withbinaryllvm n withllvmtar,"[16.858842965671133, 0.0005774254899031298, 0.009734725658652587]"
withclangurlhttp rootcernchgitclanggit n,"[16.858842965671133, 0.0005774254899031298, 0.009734725658652587]"
https rawgithubusercontentcomgiovannibussimacportscimastermacportsci source,"[16.74795336774016, 0.0005774254899031298, 0.009670695178242135]"
gcc os linux,"[9.669739290357917, 0.0009993902709861861, 0.00966384336975657]"
scan statusbugs make,"[16.112398843517433, 0.0005996341625917117, 0.00966154478787624]"
cxxcompilerclang generatorname xcode,"[20.540164774424067, 0.0004684010967046368, 0.009621035706834181]"
ticcutils bash bootstrapsh,"[16.004874026135788, 0.0005996341625917117, 0.00959706923404777]"
sudo required env,"[9.715050212179534, 0.0009852574792752705, 0.00957182588308469]"
install qq gcc,"[10.792377931816915, 0.0008843089670544436, 0.009543796580946189]"
microsoft visual studio2017buildtoolsmsbuild150bin,"[21.577350209825124, 0.0004421544835272218, 0.009540522137911218]"
brew outdated brew,"[12.957274918237545, 0.0007349051689676197, 0.009522368313147263]"
thenn docker exec,"[12.493658255178751, 0.0007611517821450348, 0.009509570246440332]"
false language cpp,"[12.738692872832658, 0.000742981049945286, 0.009464607405587739]"
compiler clang env,"[8.654890070693817, 0.0010902439319849305, 0.00943594138157056]"
kit env script,"[12.24093990414331, 0.0007692276631227009, 0.009416069596889577]"
compiler gcc os,"[9.380875828712377, 0.0010034282114750194, 0.0094130354548741]"
lfs fetch all,"[21.273208222882634, 0.0004421544835272218, 0.009406044394755718]"
git clone https,"[12.144892675490048, 0.000773265603611534, 0.00939122776551011]"
config set packagelock,"[21.015407213597054, 0.00044619242401605484, 0.009376915486319354]"
exec jekyll build,"[14.741603941907652, 0.0006359756269912094, 0.009375300809810803]"
n withclingurlhttps githubcom,"[16.201730679194142, 0.0005774254899031298, 0.009355292274712245]"
travislinuxinstallersh else travislinuxgenericsh,"[21.12153156795937, 0.0004421544835272218, 0.009338979881734986]"
include os osx,"[10.400488058455153, 0.0008964227885209428, 0.009323234507339134]"
npm run build,"[14.616062772384602, 0.0006359756269912094, 0.009295459685810172]"
necho travisfold end,"[16.0255796084772, 0.0005774254899031298, 0.009253578156406555]"
branch message buildurl,"[18.21182468056651, 0.000506761531348551, 0.00922905216377522]"
master notifications irc,"[16.553152269984967, 0.0005572357874589645, 0.009224008840093218]"
trusty sudo required,"[12.305626340314838, 0.0007490379606785356, 0.009217381258821497]"
path fi if,"[9.402922666918016, 0.0009731436578087712, 0.009150394558177604]"
gitlfs doxygen llvm,"[20.57196848665627, 0.0004421544835272218, 0.009095988101355786]"
ccompilerclang cxxcompilerclang generatorname,"[19.348446382119498, 0.0004684010967046368, 0.009062833504915635]"
cat file done,"[17.633981794388603, 0.0005087805015929675, 0.00897182610243029]"
visual studio2017buildtoolsmsbuild150bin fastfinish,"[20.28784359263014, 0.0004421544835272218, 0.008970361005580435]"
required language cpp,"[13.057693706752666, 0.0006824119426127898, 0.008910726128467886]"
ccompile cxx cxxcompile,"[17.370466951163607, 0.0005128184420818006, 0.008907895800129125]"
for file in,"[17.411875114393776, 0.0005087805015929675, 0.008858822554375374]"
env script cd,"[8.587177971395427, 0.0010256368841636012, 0.00880732645834032]"
only master notifications,"[15.77862458994273, 0.0005572357874589645, 0.008792414298396117]"
path usrlocaloptccachelibexec path,"[14.434189360642765, 0.0006077100435693778, 0.008771801845244865]"
dist trusty sudo,"[11.609158590980662, 0.0007530759011673686, 0.008742577567697661]"
linux then sudo,"[7.98603068899844, 0.0010902439319849305, 0.008706721499325982]"
n withcmakeflags clingbuildflags,"[15.051488043613528, 0.0005774254899031298, 0.008691112857354641]"
llvmtoolchaintrusty39 packages clang39,"[18.12265901955447, 0.00047849594792671944, 0.008671618906514427]"
then brew update,"[10.54236159908099, 0.0008217208894775309, 0.008662878750390596]"
ubuntutoolchainrtest packages g5,"[15.254235171208677, 0.0005673306386810471, 0.00865419498227271]"
denablecoverageon denableccacheoff codecoverage1,"[22.726720138519962, 0.0003795664059503091, 0.008626299482016533]"
massacre he caused,"[22.726720138519962, 0.0003795664059503091, 0.008626299482016533]"
next round of,"[22.726720138519962, 0.0003795664059503091, 0.008626299482016533]"
round of drinks,"[22.726720138519962, 0.0003795664059503091, 0.008626299482016533]"
configure openmpflag cppcheck,"[14.383528389840304, 0.0005996341625917117, 0.008624855001156003]"
msbuildpath c program,"[17.1352921832492, 0.0005027235908597179, 0.008614315616793492]"
skipjoin true language,"[14.365038670290051, 0.0005996341625917117, 0.008613767933656931]"
true tags true,"[13.470483744075231, 0.000637994597235626, 0.008594095850870325]"
travisreposlug n withclangurlhttp,"[14.857582419465217, 0.0005774254899031298, 0.008579146807335831]"
dcmakeinstallprefix homeshogunbuild denabletestingon,"[22.513124665420673, 0.0003795664059503091, 0.00854522581596498]"
set packagelock false,"[19.106479566697043, 0.00044619242401605484, 0.008525166432277775]"
toolspackagingcptpy y n,"[14.763685732630794, 0.0005774254899031298, 0.008524928466940184]"
y n checkrequirements,"[14.763685732630794, 0.0005774254899031298, 0.008524928466940184]"
compiler clang50 ccompileclang50,"[16.622036561731782, 0.0005128184420818006, 0.008524086893814021]"
export path usrlibccachebin,"[14.208801404949618, 0.0005996341625917117, 0.008520082731888902]"
sudo addaptrepository y,"[14.135705466410883, 0.0005996341625917117, 0.008476251909994372]"
env compilerclang ccompilerclang,"[14.37337598840389, 0.000589539311369629, 0.00847367018226039]"
dcmakebuildtypedebug denablecoverageon denableccacheoff,"[22.236914870839144, 0.0003795664059503091, 0.008440385856947395]"
beforecache ls hometravisccache,"[19.08292272882618, 0.0004421544835272218, 0.00843759984335402]"
openmpflag disableopenmp os,"[14.066710118560454, 0.0005996341625917117, 0.008434879942363357]"
srcshogun capture outputfile,"[22.206370458341453, 0.0003795664059503091, 0.008428792224073783]"
generatorname xcode osximage,"[17.963517541914914, 0.0004684010967046368, 0.008414131317305926]"
packagelock false gem,"[18.825230425263477, 0.00044619242401605484, 0.008399675196109098]"
source macportsci install,"[14.535665114105846, 0.0005774254899031298, 0.008393263549580402]"
brew update brew,"[10.996935811203791, 0.0007631707523894513, 0.008392539777014898]"
linux env name,"[9.426498206154726, 0.0008883469075432767, 0.008374000530399795]"
cc ccompile cxx,"[16.20433352888367, 0.0005128184420818006, 0.00830988107525601]"
directory srcshogun capture,"[21.83909337627922, 0.0003795664059503091, 0.008289386182047505]"
