RepoName;GitHubLanguages
aksnzhy/xlearn;C++,Shell,Python,Makefile,CMake,C,M4,Batchfile,R,Dockerfile
inspirehep/magpie;Python
lai-bluejay/diego;Python,Shell
menpo/menpo;Python,C,C++,Makefile
amadeus4dev/amadeus-ruby;Ruby
JohnVinyard/zounds;Python,JavaScript,HTML,Dockerfile,Shell
wkcn/MobulaOP;Python,C++,C,Shell
iamDecode/sklearn-pmml-model;Python,R
kermitt2/delft;Python
chainer/chainer;Python,C++,Cuda,CMake,Shell,PowerShell,Dockerfile,Batchfile,C
neuronets/nobrainer;Python,Jupyter Notebook,Dockerfile,Shell
intel-analytics/BigDL;Scala,Python,Shell,RobotFramework,Java,Dockerfile,Lua
C5T/Current;C++,Shell,TypeScript,Objective-C++,JavaScript,Objective-C,C,HTML,Makefile,F#
esimov/pigo;Go,Python,C,Shell,HTML,Makefile,CSS
Mariewelt/OpenChem;Python,Shell,Dockerfile,Batchfile
plstcharles/thelper;Python,Makefile,Dockerfile,C,Shell
therfoo/therfoo;Go
exectails/Yggdrasil;C#
Tencent/ncnn;C++,C,GLSL,Python,CMake,Shell,Batchfile,SWIG
dmitryikh/leaves;Go,Python,Shell
NIHOPA/NLPre;Python
proycon/foliapy;Python,Shell
KotlinNLP/SimpleDNN;Kotlin
microsoft/MMdnn;Python,JavaScript,TypeScript,CSS,HTML,Shell
microsoft/ConversationLearner-Models;TypeScript
webfirmframework/wff;Java,JavaScript
vkuznet/TFaaS;JavaScript,HTML,CSS,C++,Go,Python,SCSS,Shell,PureBasic,Makefile,Dockerfile
DeNA/ChainerPruner;Python,Shell,Dockerfile
OlafenwaMoses/ImageAI;Python
arthurpaulino/miraiml;Python,Makefile
oracle/Skater;Python,Shell
pixiedust/pixiedust;Jupyter Notebook,Python,HTML,JavaScript,Scala,Makefile,Batchfile,CSS,Java,Smarty
RGF-team/rgf;C++,Python,Jupyter Notebook,R,Logos,Yacc,Shell,PowerShell,CMake,Perl,Makefile,Dockerfile
annoviko/pyclustering;Python,C++,TeX,C,Shell,PowerShell,Makefile,CMake
dssg/triage;Jupyter Notebook,Python,Shell,Dockerfile,PLpgSQL,Mako
Thenerdstation/mltest;Python
cltk/cltk;Python,Jupyter Notebook,Makefile
shimat/opencvsharp;C#,C++,C,Dockerfile,PowerShell,CMake
chainer/chainercv;Python,Shell,Dockerfile
tensorflow/tfjs;TypeScript,JavaScript,Python,C++,HTML,Shell,Starlark,CSS,Objective-C,Java,Batchfile,Ruby,Dockerfile,C
bsc-wdc/dislib;Python,Jupyter Notebook,Shell,Dockerfile
PetrochukM/PyTorch-NLP;Python,Shell
guokr/Caver;Python
roberino/linqinfer;C#,HTML,Shell,Batchfile,PowerShell,Smalltalk
ibayer/fastFM;Python,Shell,Makefile
openeventdata/mordecai;Python,TeX
scikit-learn-contrib/hdbscan;Jupyter Notebook,Python,TeX,Shell
Blind-Striker/gender-prediction-turkish;C#,Shell,PowerShell
openopt/copt;Python,Shell
