ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
wzpan/wukong-robot,Applied,2018-05-12,2019-05-13,270,841,14,1
kymatio/kymatio,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Embedding-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
zuoxingdong/lagom,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
esowc/ml_drought,Applied,2018-08-12,2019-08-13,4321,749,254,435
google/tangent,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
wesselb/stheno,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
criteo/tf-yarn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-News-Text-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nicodv/kmodes,Applied,2018-06-10,2019-06-11,194,1674,77,4
alvinwan/timefhuman,Applied,2017-08-06,2018-08-07,44,566,7,2
ikegami-yukino/pymlask,Applied,2018-05-22,2019-05-23,77,1109,0,2
loli/medpy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
maxpumperla/elephas,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
JoergFranke/ADNC,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nlppln/nlppln,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
BloodAxe/pytorch-toolbelt,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ikegami-yukino/neologdn,Tool,2017-12-06,2018-12-07,62,1644,17,13
neka-nat/tensorboard-chainer,Tool,2016-12-03,2017-12-04,89,996,30,14
vecxoz/vecstack,Tool,2018-07-09,2019-07-10,51,929,14,0
innodatalabs/tbert,Tool,2018-02-19,2019-02-20,14,100,0,0
sintefneodroid/neo,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
EducationalTestingService/rsmtool,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
nerox8664/gluon2pytorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pymc-learn/pymc-learn,Applied,2018-07-22,2019-07-23,69,944,22,275
wkentaro/chainer-cyclegan,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
shineware/PyKOMORAN,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
snipsco/snips-nlu-metrics,Applied,2018-06-04,2019-06-05,327,1203,35,5
verifid/mocr,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cosanlab/nltools,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-optimize/scikit-optimize,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bigartm/bigartm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fcurella/django-recommends,Applied,2016-03-27,2017-03-28,73,1650,49,10
astorfi/3D-convolutional-speaker-recognition,Applied,2016-09-19,2017-09-20,42,962,14,0
guokr/Caver,Tool,2018-06-11,2019-06-12,91,320,3,2
MisaOgura/flashtorch,Tool,2018-07-07,2019-07-08,275,691,2,0
modAL-python/modAL,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
chainer/chainercv,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
neuronets/nobrainer,Tool,2018-07-26,2019-07-27,472,792,7,0
iamDecode/sklearn-pmml-model,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
NVIDIA/DIGITS,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
r9y9/nnmnkwii,Tool,2018-07-06,2019-07-07,476,1378,45,12
stanfordnlp/stanfordnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raviqqe/tensorflow-qnd,Tool,2018-04-19,2019-04-20,326,850,0,0
torchgan/torchgan,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Mariewelt/OpenChem,Tool,2018-04-17,2019-04-18,16,56,0,0
reiinakano/scikit-plot,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
onnx/onnx-tensorflow,Tool,2018-08-07,2019-08-08,4018,1111,2574,172
PetrochukM/PyTorch-NLP,Tool,2018-06-07,2019-06-08,484,1135,66,34
clips/pattern,Tool,2018-07-04,2019-07-05,254,1454,103,14
Maluuba/nlg-eval,Tool,2018-08-12,2019-08-13,149,1051,15,39
pytorch/ignite,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
yxonic/fret,Tool,2018-03-20,2019-03-21,202,716,40,20
arthurpaulino/miraiml,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
fukatani/stacked_generalization,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
CrowdTruth/CrowdTruth-core,Tool,2018-05-10,2019-05-11,139,269,32,11
cltk/cltk,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kermitt2/delft,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
