ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
snoack/python-goto,NonML,2018-12-15,2019-12-16,103,1502,74,28
solusipse/fiche,NonML,2017-05-04,2018-05-05,79,1642,8,0
source-foundry/Hack,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
sripathikrishnan/redis-rdb-tools,NonML,2017-12-24,2018-12-25,118,1752,2,0
srsudar/eg,NonML,2017-10-08,2018-10-09,65,1624,6,5
srvrco/getssl,NonML,2017-12-06,2018-12-07,150,761,2,9
sunainapai/makesite,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
tdryer/hangups,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
toastdriven/restless,NonML,2016-12-10,2017-12-11,120,1647,105,75
tortilla/tortilla,NonML,2017-04-09,2018-04-10,50,1614,23,0
trentm/node-bunyan,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
typelift/SwiftCheck,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ukdtom/WebTools.bundle,NonML,2016-07-25,2017-07-26,3,0,0,0
ustream/openduty,NonML,2018-01-15,2019-01-16,32,801,3,0
vektah/CodeGlance,NonML,2016-03-11,2017-03-12,15,106,0,0
viewflow/django-fsm,NonML,2019-03-27,2020-03-27,132,1686,32,0
websocket-client/websocket-client,NonML,2018-12-25,2019-12-26,180,916,6,5
wesm/feather,NonML,2019-02-19,2020-02-20,225,1652,0,1
what-studio/profiling,NonML,2016-10-16,2017-10-17,45,1425,40,5
wireservice/agate,NonML,2019-04-02,2020-04-02,245,1704,220,62
wisk/medusa,NonML,2018-09-16,2019-09-17,109,1142,0,16
wq/django-rest-pandas,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
wummel/linkchecker,NonML,2016-08-16,2017-08-17,81,1485,84,3
yougov/mongo-connector,NonML,2017-10-30,2018-10-31,299,1637,114,17
zardus/ctf-tools,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
