ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
beringresearch/ivis,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koshort/pyeunjeon,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ugnelis/tensorflow-rnn-ctc,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
platisd/bad-commit-message-blocker,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
PPPLDeepLearning/plasma-python,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MathBunny/strava-wind-analysis-ml,Applied,2017-03-28,2018-03-29,37,408,34,3
chakki-works/chariot,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn-contrib/stability-selection,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
HoloClean/holoclean,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cjekel/tindetheus,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mholtzscher/spacy_readability,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
domainadaptation/salad,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bigmlcom/python,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ssydasheng/GPflow-Slim,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IlyaGusev/rnnmorph,Applied,2017-06-11,2018-06-12,78,1343,22,1
cbg-ethz/pybda,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fdtomasi/regain,Applied,2017-02-16,2018-02-17,260,1216,24,30
NRCan/geo-deep-learning,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
RandolphVI/Next-Basket-Recommendation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
akshaynagpal/w2n,Applied,2016-06-02,2017-06-03,53,1457,0,0
aleju/imgaug,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ELS-RD/anonymisation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
textpipe/textpipe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
parlance/ctcdecode,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
wq2012/SpectralCluster,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
jmschrei/apricot,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raphaelvallat/entropy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vita-epfl/openpifpaf,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vecto-ai/vecto,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koalanlp/python-support,Tool,2017-03-05,2018-03-06,86,803,12,1
bmcfee/pumpp,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
theislab/scgen,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
namisan/mt-dnn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
adhaamehab/arabicnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
clusterking/clusterking,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
datarobot/pic2vec,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Liebeck/spacy-sentiws,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
pycroscopy/pycroscopy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Object-Detector,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sinhrks/daskperiment,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
nature1995/Face-Recognition-System,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sorenlind/lemmy,Tool,2017-02-11,2018-02-12,90,723,12,1
Zenohm/Friday,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
okfn-brasil/serenata-de-amor,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
VSainteuf/izitorch,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
CyberZHG/keras-gpt-2,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NTMC-Community/MatchZoo,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bfelbo/DeepMoji,Applied,2016-12-21,2017-12-22,86,1038,5,8
datmo/datmo,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
trevorstephens/gplearn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
sorgerlab/indra,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
pavelkomarov/projection-pursuit,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ealcobaca/pymfe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
lucasmaystre/choix,Applied,2016-07-06,2017-07-07,65,1477,3,4
dmbee/seglearn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mackelab/delfi,Applied,2017-07-17,2018-07-18,263,946,15,5
elitcloud/elit,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
undertheseanlp/languageflow,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jonasrothfuss/fishervector,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kLabUM/rrcf,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Text-Sentiment-Classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jawahar273/practNLPTools-lite,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
tensorly/tensorly,Tool,2017-07-03,2018-07-04,812,1629,89,65
henrysky/astroNN,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NeuroTechX/moabb,Applied,2017-05-18,2018-05-19,515,1086,64,6
ScottfreeLLC/AlphaPy,Applied,2017-05-25,2018-05-26,83,1359,12,4
vkuznet/MLaaS4HEP,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
hawk31/pyGPGO,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mir-am/LightTwinSVM,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
JonathanRaiman/pytreebank,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
iandanforth/pymuscle,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
chainer/onnx-chainer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
hachmannlab/chemml,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Cloud-CV/EvalAI,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Legilibre/legi.py,Applied,2017-02-17,2018-02-18,169,1623,18,0
oseiskar/autosubsync,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
maxrousseau/pfla,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
apple/turicreate,Applied,2017-08-10,2018-08-11,4559,969,66,22
DrSleep/light-weight-refinenet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mozilla/TTS,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sethah/deeptennis,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-garden/scikit-garden,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
netrack/keras-metrics,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
chakki-works/chazutsu,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
src-d/ml-core,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
dirty-cat/dirty_cat,Applied,2017-06-08,2018-06-09,515,1113,7,8
Hananel-Hazan/bindsnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
OFAI/hub-toolbox-python3,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sintefneodroid/agent,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pescadores/pescador,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Epistimio/orion,Applied,2017-08-10,2018-08-11,3878,1124,1085,483
CyberZHG/wiki-dump-reader,Applied,2017-07-25,2018-07-26,30,244,5,4
BLKSerene/Wordless,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MagNet-DL/magnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
daniel-cortez-stevenson/crypto-predict,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mikgroup/sigpy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
maximecb/gym-miniworld,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cgre-aachen/bayseg,Tool,2016-12-01,2017-12-02,20,720,0,0
leopepe/GOApy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
AmeyaWagh/Traffic_sign_detection_YOLO,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
