ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
scikit-learn-contrib/stability-selection,Tool,2019-08-12,2020-08-12,86,895,2,0,1,0,0
HoloClean/holoclean,Applied,2019-12-01,2020-12-01,366,737,12,10,1,0,0
cjekel/tindetheus,Applied,2019-12-01,2020-12-01,419,490,394,4,27,0,362
mholtzscher/spacy_readability,Applied,2018-04-01,2019-04-02,525,366,521,76,6,4,358
domainadaptation/salad,Applied,2019-04-30,2020-04-30,7,449,0,0,0,0,0
bigmlcom/python,Tool,2020-06-14,2021-06-15,409,1511,78,23,16,13,20
IlyaGusev/rnnmorph,Applied,2020-06-08,2021-06-09,78,1343,5,2,0,0,2
cbg-ethz/pybda,Applied,2018-10-23,2019-10-24,135,253,135,13,18,2,101
fdtomasi/regain,Applied,2020-05-06,2021-05-07,260,1216,16,3,6,0,6
NRCan/geo-deep-learning,Applied,2020-05-31,2021-06-01,574,969,287,197,7,0,61
RandolphVI/Next-Basket-Recommendation,Applied,2019-09-18,2020-09-18,12,532,0,0,0,0,0
akshaynagpal/w2n,Applied,2020-05-13,2021-05-14,53,1457,10,7,0,0,1
aleju/imgaug,Applied,2020-04-15,2021-04-16,853,530,212,11,25,0,164
ELS-RD/anonymisation,Applied,2019-12-10,2020-12-10,35,587,17,9,1,0,6
textpipe/textpipe,Applied,2020-06-09,2021-06-10,1528,1243,75,13,6,0,32
parlance/ctcdecode,Tool,2020-06-07,2021-06-08,57,298,57,13,16,0,28
wq2012/SpectralCluster,Tool,2019-06-30,2020-06-30,45,527,22,3,0,0,18
jmschrei/apricot,Tool,2020-02-19,2021-02-19,141,621,78,3,27,3,31
raphaelvallat/entropy,Applied,2020-03-29,2021-03-30,87,895,35,2,0,0,31
vita-epfl/openpifpaf,Applied,2020-01-21,2021-01-21,1500,676,375,85,15,13,250
vecto-ai/vecto,Applied,2018-12-09,2019-12-10,882,594,190,34,6,0,149
koalanlp/python-support,Tool,2019-04-10,2020-04-10,86,803,50,7,14,18,7
bmcfee/pumpp,Applied,2018-10-08,2019-10-09,375,1167,90,16,6,0,65
theislab/scgen,Applied,2019-08-03,2020-08-03,253,526,47,17,10,0,19
namisan/mt-dnn,Applied,2020-02-17,2021-02-17,242,560,100,24,3,0,69
adhaamehab/arabicnlp,Tool,2018-06-12,2019-06-13,25,37,0,0,0,0,0
clusterking/clusterking,Applied,2019-12-10,2020-12-10,459,686,41,10,1,0,14
datarobot/pic2vec,Applied,2020-06-09,2021-06-10,203,1415,4,0,3,0,0
Liebeck/spacy-sentiws,Applied,2018-08-05,2019-08-06,14,468,0,0,0,0,0
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,2019-11-10,2020-11-10,262,919,41,16,4,3,12
pycroscopy/pycroscopy,Applied,2020-02-14,2021-02-14,408,731,259,21,24,0,213
IBM/MAX-Object-Detector,Applied,2020-05-16,2021-05-17,252,774,14,0,0,0,13
sinhrks/daskperiment,Tool,2018-04-24,2019-04-25,287,88,287,84,31,7,143
nature1995/Face-Recognition-System,Applied,2020-05-09,2021-05-10,128,832,53,0,0,0,52
sorenlind/lemmy,Tool,2018-10-17,2019-10-18,90,723,43,3,3,0,36
Zenohm/Friday,Applied,2020-05-23,2021-05-24,20,13,0,0,0,0,0
okfn-brasil/serenata-de-amor,Applied,2020-06-01,2021-06-02,928,894,125,2,17,0,3
VSainteuf/izitorch,Tool,2019-01-20,2020-01-21,16,333,0,0,0,0,0
CyberZHG/keras-gpt-2,Applied,2020-06-15,2021-06-16,160,847,55,6,1,0,47
NTMC-Community/MatchZoo,Applied,2020-06-14,2021-06-15,303,502,207,62,114,0,30
bfelbo/DeepMoji,Applied,2019-09-13,2020-09-13,86,1038,52,18,31,1,0
trevorstephens/gplearn,Tool,2020-06-12,2021-06-13,475,1754,54,36,15,0,2
sorgerlab/indra,Tool,2019-03-25,2020-03-25,630,191,629,263,212,1,153
pavelkomarov/projection-pursuit,Tool,2020-05-26,2021-05-27,169,1212,10,1,0,0,8
ealcobaca/pymfe,Applied,2019-04-01,2020-04-01,660,376,572,108,12,0,449
lucasmaystre/choix,Applied,2019-12-17,2020-12-17,65,1477,3,0,0,0,2
dmbee/seglearn,Applied,2020-03-12,2021-03-13,251,1094,13,1,0,0,11
mackelab/delfi,Applied,2019-07-04,2020-07-04,263,946,130,9,4,1,114
elitcloud/elit,Tool,2019-03-12,2020-03-12,837,967,106,62,1,0,42
undertheseanlp/languageflow,Applied,2018-08-16,2019-08-17,307,601,220,44,11,0,162
jonasrothfuss/fishervector,Applied,2018-05-22,2019-05-23,11,446,0,0,0,0,0
kLabUM/rrcf,Applied,2020-01-14,2021-01-14,283,786,25,5,0,0,19
IBM/MAX-Text-Sentiment-Classifier,Applied,2020-06-22,2021-06-23,315,1092,50,0,1,0,25
jawahar273/practNLPTools-lite,Applied,2020-06-11,2021-06-12,909,623,325,0,229,0,0
tensorly/tensorly,Tool,2019-03-12,2020-03-12,562,1227,112,37,10,0,64
henrysky/astroNN,Applied,2019-12-12,2020-12-12,680,1007,0,0,0,0,0
NeuroTechX/moabb,Applied,2020-03-18,2021-03-19,515,1086,191,55,20,0,79
ScottfreeLLC/AlphaPy,Applied,2020-02-09,2021-02-09,83,1359,42,0,0,0,40
vkuznet/MLaaS4HEP,Applied,2020-03-30,2021-03-31,79,657,28,0,1,0,26
hawk31/pyGPGO,Applied,2019-11-24,2020-11-24,183,1340,2,0,0,0,1
mir-am/LightTwinSVM,Tool,2018-12-29,2019-12-30,121,582,44,3,1,0,39
JonathanRaiman/pytreebank,Applied,2019-02-18,2020-02-19,6,1157,0,0,0,0,0
iandanforth/pymuscle,Applied,2018-02-18,2019-02-19,39,219,39,9,1,0,29
chainer/onnx-chainer,Applied,2018-11-06,2019-11-07,785,715,580,69,27,2,436
hachmannlab/chemml,Applied,2020-05-04,2021-05-05,127,944,10,2,0,0,7
Cloud-CV/EvalAI,Applied,2020-01-28,2021-01-28,1799,217,300,85,19,11,169
Legilibre/legi.py,Applied,2020-05-31,2021-06-01,169,1623,10,3,0,0,6
oseiskar/autosubsync,Applied,2020-03-06,2021-03-07,40,866,8,0,1,1,5
maxrousseau/pfla,Applied,2019-07-16,2020-07-16,150,739,42,18,0,0,23
apple/turicreate,Applied,2020-03-29,2021-03-30,4559,969,389,149,35,0,192
DrSleep/light-weight-refinenet,Applied,2019-06-25,2020-06-25,18,475,0,0,0,0,0
mozilla/TTS,Applied,2020-01-13,2021-01-13,829,543,75,53,2,0,19
sethah/deeptennis,Applied,2019-05-19,2020-05-19,29,450,21,2,6,0,12
scikit-garden/scikit-garden,Applied,2020-03-16,2021-03-17,211,1425,11,6,3,0,1
netrack/keras-metrics,Applied,2018-10-06,2019-10-07,105,500,68,16,0,0,51
chakki-works/chazutsu,Tool,2018-12-01,2019-12-02,9,64,0,0,0,0,0
src-d/ml-core,Tool,2018-10-17,2019-10-18,195,183,195,82,25,1,87
dirty-cat/dirty_cat,Applied,2020-04-01,2021-04-02,515,1113,160,25,1,0,125
OFAI/hub-toolbox-python3,Applied,2019-05-21,2020-05-21,175,1365,6,3,0,0,2
sintefneodroid/agent,Applied,2019-11-18,2020-11-18,180,946,24,20,2,0,0
pescadores/pescador,Applied,2019-12-11,2020-12-11,448,1596,4,0,0,0,3
Epistimio/orion,Applied,2019-04-02,2020-04-02,388,64,388,107,6,11,234
CyberZHG/wiki-dump-reader,Applied,2018-03-26,2019-03-27,30,244,30,3,2,0,25
BLKSerene/Wordless,Applied,2018-11-13,2019-11-14,226,75,225,27,12,2,183
MagNet-DL/magnet,Applied,2018-01-10,2019-01-11,39,132,39,9,4,0,26
daniel-cortez-stevenson/crypto-predict,Applied,2018-03-14,2019-03-15,136,1198,136,18,17,4,76
mikgroup/sigpy,Applied,2020-06-15,2021-06-16,475,1271,88,8,2,0,56
maximecb/gym-miniworld,Applied,2020-05-21,2021-05-22,374,932,34,2,0,0,31
cgre-aachen/bayseg,Tool,2018-11-21,2019-11-22,20,720,0,0,0,0,0
leopepe/GOApy,Applied,2020-08-03,2021-08-04,167,1007,108,21,5,0,75
alvations/sacremoses,Applied,2020-06-14,2021-06-15,68,56,68,3,0,0,65
imgarylai/bert-embedding,Applied,2018-11-13,2019-11-14,66,276,66,5,4,1,48
braincreators/octconv,Applied,2019-01-08,2020-01-09,42,252,42,4,2,0,35
alvations/pywsd,Applied,2020-04-20,2021-04-21,112,1553,4,0,0,0,2
geomstats/geomstats,Tool,2020-04-17,2021-04-18,143,18,128,54,8,6,59
kpe/bert-for-tf2,Tool,2019-11-16,2020-11-16,227,542,78,9,0,0,65
wzpan/wukong-robot,Applied,2020-06-14,2021-06-15,270,841,24,0,0,0,23
kymatio/kymatio,Applied,2020-02-13,2021-02-13,780,386,364,29,46,0,232
IBM/MAX-Audio-Embedding-Generator,Applied,2020-04-19,2021-04-20,442,1124,25,0,0,0,1
zuoxingdong/lagom,Applied,2019-02-26,2020-02-27,664,588,422,54,12,0,349
esowc/ml_drought,Applied,2020-05-28,2021-05-29,4321,749,808,748,27,1,31
google/tangent,Applied,2019-12-26,2020-12-26,181,1143,5,1,3,0,0
wesselb/stheno,Applied,2019-12-04,2020-12-04,243,916,25,10,0,0,2
criteo/tf-yarn,Applied,2019-10-29,2020-10-29,118,777,42,0,3,0,35
nicodv/kmodes,Applied,2020-03-07,2021-03-08,194,1674,16,1,3,0,11
alvinwan/timefhuman,Applied,2019-02-23,2020-02-24,44,566,11,2,3,0,5
ikegami-yukino/pymlask,Applied,2019-02-24,2020-02-25,77,1109,34,2,2,0,29
loli/medpy,Applied,2019-05-02,2020-05-02,148,1005,2,0,0,0,1
maxpumperla/elephas,Applied,2020-04-23,2021-04-24,236,1708,75,16,18,1,33
JoergFranke/ADNC,Applied,2018-02-20,2019-02-21,51,245,50,3,2,0,45
nlppln/nlppln,Applied,2018-04-22,2019-04-23,91,625,41,7,0,0,33
BloodAxe/pytorch-toolbelt,Applied,2020-06-05,2021-06-06,549,810,227,89,10,0,113
ikegami-yukino/neologdn,Tool,2020-05-02,2021-05-03,62,1644,4,0,0,0,3
neka-nat/tensorboard-chainer,Tool,2019-05-11,2020-05-11,89,996,11,0,10,0,0
vecxoz/vecstack,Tool,2019-09-15,2020-09-15,51,929,6,2,0,0,3
innodatalabs/tbert,Tool,2018-02-19,2019-02-20,14,100,0,0,0,0,0
sintefneodroid/neo,Tool,2019-11-18,2020-11-18,266,949,22,13,3,0,4
EducationalTestingService/rsmtool,Tool,2019-10-30,2020-10-30,627,265,625,91,7,4,457
pymc-learn/pymc-learn,Applied,2020-05-22,2021-05-23,69,944,16,0,15,0,0
wkentaro/chainer-cyclegan,Applied,2018-03-18,2019-03-19,12,361,0,0,0,0,0
shineware/PyKOMORAN,Applied,2018-05-14,2019-05-15,14,9,0,0,0,0,0
snipsco/snips-nlu-metrics,Applied,2020-06-08,2021-06-09,327,1203,54,22,0,0,31
verifid/mocr,Applied,2020-03-31,2021-04-01,218,859,77,0,8,0,67
scikit-optimize/scikit-optimize,Applied,2020-05-12,2021-05-13,251,443,147,40,5,0,84
bigartm/bigartm,Applied,2019-11-10,2020-11-10,313,937,185,21,64,0,85
fcurella/django-recommends,Applied,2020-02-17,2021-02-17,73,1650,36,10,7,5,12
