ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
abdullahselek/koolsla,Applied,2020-06-02,2021-06-03,239,1199,63,0,3,0,58
abdullahselek/spampy,Applied,2020-06-09,2021-06-10,227,1099,79,1,6,0,66
persephone-tools/persephone,Applied,2019-11-16,2020-11-16,550,1006,42,15,2,0,21
locuslab/qpth,Tool,2019-07-10,2020-07-10,96,1188,7,0,1,0,4
sammous/spacy-lefff,Tool,2020-06-14,2021-06-15,355,1186,90,36,4,0,49
toodef/neural-pipeline,Applied,2019-06-02,2020-06-02,212,534,17,14,0,1,0
intuit/foremast-brain,Applied,2018-10-30,2019-10-31,505,314,505,66,37,0,402
ErikGartner/hyperdock,Applied,2018-07-18,2019-07-19,379,411,25,0,1,0,23
zvtvz/zvt,Applied,2020-06-11,2021-06-12,936,715,458,83,8,0,339
vi3k6i5/flashtext,Applied,2020-06-13,2021-06-14,144,1369,15,14,0,0,0
wittawatj/kernel-gof,Applied,2018-07-11,2019-07-12,24,740,0,0,0,0,0
titu1994/tfdiffeq,Applied,2019-08-27,2020-08-27,117,562,45,6,1,0,36
atomistic-machine-learning/schnetpack,Applied,2018-03-28,2019-03-29,356,195,356,62,6,0,272
nok/sklearn-porter,Applied,2020-06-01,2021-06-02,715,1777,14,0,7,4,1
benfred/implicit,Applied,2020-04-26,2021-04-27,669,1724,123,45,7,1,61
mila-iqia/babyai,Applied,2020-04-09,2021-04-10,627,906,57,1,13,0,40
SuperKogito/Voice-based-gender-recognition,Applied,2018-04-08,2019-04-09,13,26,0,0,0,0,0
duketemon/pyuplift,Applied,2018-12-02,2019-12-03,55,174,55,3,1,0,50
pathwayforte/pathway-forte,Applied,2020-03-02,2021-03-03,113,660,21,17,0,0,3
huggingface/neuralcoref,Applied,2020-02-25,2021-02-25,131,984,19,0,4,0,14
indix/whatthelang,Applied,2018-03-21,2019-03-22,36,504,5,0,4,0,0
ParrotPrediction/pyalcs,Applied,2020-06-12,2021-06-13,568,1612,148,56,29,0,61
IBM/MAX-Image-Resolution-Enhancer,Applied,2020-07-06,2021-07-07,309,1093,50,2,0,0,24
raamana/graynet,Applied,2020-04-01,2021-04-02,258,1341,13,6,0,0,5
ikegami-yukino/oseti,Applied,2020-01-22,2021-01-22,12,708,0,0,0,0,0
Keep-Current/Engine,Applied,2018-05-07,2019-05-08,101,432,58,7,4,0,46
a-slide/pycoQC,Applied,2019-12-17,2020-12-17,110,540,22,0,7,0,14
samuelstjean/nlsam,Tool,2020-06-13,2021-06-14,826,1380,137,31,21,0,53
LexPredict/lexpredict-lexnlp,Tool,2020-05-10,2021-05-11,246,1317,25,0,24,0,0
Tiiiger/bert_score,Applied,2020-07-16,2021-07-17,142,696,69,42,2,0,0
ibrahimsharaf/doc2vec,Applied,2019-09-28,2020-09-28,4,179,0,0,0,0,0
DongjunLee/kino-bot,Applied,2019-11-09,2020-11-09,423,1514,40,36,0,0,0
MaxHalford/starboost,Applied,2018-02-11,2019-02-12,12,71,0,0,0,0,0
DistrictDataLabs/yellowbrick,Applied,2017-05-15,2018-05-16,58,23,58,8,22,0,25
howl-anderson/seq2annotation,Applied,2020-05-21,2021-05-22,264,894,25,1,0,0,0
databricks/spark-sklearn,Tool,2018-12-03,2019-12-04,135,1210,49,5,7,0,33
beringresearch/ivis,Applied,2020-06-12,2021-06-13,281,682,137,18,17,0,79
koshort/pyeunjeon,Applied,2019-07-20,2020-07-20,19,795,0,0,0,0,0
ugnelis/tensorflow-rnn-ctc,Applied,2018-05-01,2019-05-02,47,575,6,0,0,0,5
platisd/bad-commit-message-blocker,Applied,2018-06-13,2019-06-14,42,43,42,5,6,0,29
PPPLDeepLearning/plasma-python,Applied,2018-09-26,2019-09-27,468,843,14,3,0,0,10
MathBunny/strava-wind-analysis-ml,Applied,2018-05-05,2019-05-06,37,408,9,6,2,0,0
chakki-works/chariot,Applied,2020-01-10,2021-01-10,60,858,5,4,0,0,0
