ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
floooh/oryol,NonML,2018-09-10,2020-09-10,585,1496,18,3
flyimg/flyimg,NonML,2018-12-31,2020-12-31,771,1604,19,11
fossasia/meilix-systemlock,NonML,2017-01-17,2019-01-18,63,621,17,0
fossasia/open-event,NonML,2015-05-05,2017-05-05,7,69,0,0
fossasia/open-event-droidgen,NonML,2017-09-08,2019-09-09,464,577,94,0
googlesamples/assistant-sdk-python,NonML,2019-05-06,2021-05-06,181,1464,7,0
grangier/python-goose,NonML,2018-01-12,2020-01-13,11,1249,0,0
greg7mdp/sparsepp,NonML,2019-01-09,2021-01-09,159,1599,13,0
guyzmo/git-repo,NonML,2017-08-27,2019-08-28,471,1081,23,328
hellysmile/fake-useragent,NonML,2019-06-15,2021-06-15,616,603,169,4
intelxed/xed,NonML,2017-08-09,2019-08-10,407,962,21,9
jazzband/django-hosts,NonML,2018-11-09,2020-11-09,114,1365,155,4
jborg/attic,NonML,2019-04-10,2021-04-10,4,1490,0,0
jdf/processing.py,NonML,2017-02-10,2019-02-11,306,920,10,27
jek/blinker,NonML,2019-01-30,2021-01-30,47,1620,0,0
jorgebastida/gordon,NonML,2017-04-11,2019-04-12,106,1005,44,3
kdchang/reactjs101,NonML,2016-05-26,2018-05-27,44,574,43,1
kdzwinel/betwixt,NonML,2017-01-08,2019-01-09,12,818,0,0
keepassx/keepassx,NonML,2019-03-02,2021-03-02,152,1686,4,0
khamidou/kite,NonML,2017-04-17,2019-04-18,1,0,0,0
kieferk/dfply,NonML,2018-10-05,2020-10-05,224,1459,10,1
kootenpv/whereami,NonML,2017-02-14,2019-02-15,52,865,8,0
kootenpv/yagmail,NonML,2019-05-11,2021-05-11,105,1741,26,0
krallin/tini,NonML,2019-01-08,2021-01-08,254,1611,81,85
lambtron/emojipacks,NonML,2017-11-26,2019-11-27,190,1225,9,0
libfann/fann,NonML,2019-03-15,2021-03-15,63,1667,1,0
loregr/LGButton,NonML,2018-09-12,2020-09-12,100,1181,8,0
ma6174/vim,NonML,2017-01-21,2019-01-22,10,772,0,0
maciejkula/glove-python,NonML,2015-04-26,2017-04-26,2,35,0,0
mafintosh/turbo-net,NonML,2017-09-13,2019-09-14,67,561,48,25
mailgun/flanker,NonML,2019-04-30,2021-04-30,407,1455,7,4
mantl/mantl,NonML,2017-05-07,2019-05-08,258,1020,96,12
martinrusev/imbox,NonML,2019-02-13,2021-02-13,163,1568,12,8
matt-42/vpp,NonML,2017-02-07,2019-02-08,111,807,4,46
maxbbraun/trump2cash,NonML,2015-02-09,2017-02-09,2,0,0,0
maxpumperla/hyperas,NonML,2018-12-23,2020-12-23,136,1571,3,12
mbr/flask-bootstrap,NonML,2019-02-26,2021-02-26,49,1668,6,0
mediadrop/mediadrop,NonML,2019-01-16,2021-01-16,15,1521,0,0
mewwts/addict,NonML,2019-05-02,2021-05-02,144,1745,14,9
microsoft/Multiverso,NonML,2019-09-03,2021-09-03,731,902,0,2
mila-iqia/blocks,NonML,2016-09-06,2018-09-07,395,766,167,1220
mila-iqia/fuel,NonML,2019-06-09,2021-06-09,412,1775,12,8
miso-belica/sumy,NonML,2018-11-22,2020-11-22,97,1558,75,100
mitsuhiko/pipsi,NonML,2017-05-24,2019-05-25,131,697,139,9
mjhea0/flaskr-tdd,NonML,2019-02-08,2021-02-08,104,1315,35,26
mpeterv/luacheck,NonML,2018-08-21,2020-08-21,233,1460,43,7
mpld3/mpld3,NonML,2016-03-12,2018-03-13,33,583,8,19
mwrlabs/drozer,NonML,2019-04-29,2021-04-29,233,1720,0,19
mwrlabs/needle,NonML,2015-07-13,2017-07-13,4,0,0,0
nose-devs/nose,NonML,2019-04-10,2021-04-10,46,1714,45,33
numenta/nupic,NonML,2015-05-27,2017-05-27,751,298,62,301
nvdv/vprof,NonML,2017-12-28,2019-12-29,180,1266,56,1
olgabot/prettyplotlib,NonML,2017-01-31,2019-02-01,1,0,0,0
onejgordon/flow-dashboard,NonML,2018-09-30,2020-09-30,476,1295,4,3
openai/roboschool,NonML,2019-06-15,2021-06-15,802,922,1859,220
peterbraden/node-opencv,NonML,2019-05-01,2021-05-01,272,1700,0,5
phonegap/phonegap-app-desktop,NonML,2018-04-02,2020-04-02,43,1343,0,0
pixie-lang/pixie,NonML,2018-10-29,2020-10-29,19,1536,0,0
pndurette/gTTS,NonML,2017-08-27,2019-08-28,283,1132,136,4
ppwwyyxx/OpenPano,NonML,2018-09-09,2020-09-09,76,1496,0,1
prompt-toolkit/pyvim,NonML,2018-12-25,2020-12-25,99,1607,12,0
push-things/django-th,NonML,2018-05-02,2020-05-02,466,1369,3,2
pwaller/pyfiglet,NonML,2018-12-06,2020-12-06,59,1340,12,0
python-security/pyt,NonML,2018-12-26,2020-12-26,812,1519,5,0
pythonprofilers/memory_profiler,NonML,2019-06-13,2021-06-13,254,1766,18,16
rcaloras/bashhub-client,NonML,2019-04-19,2021-04-19,113,1715,7,3
retspen/webvirtmgr,NonML,2019-04-07,2021-04-07,30,1712,4,4
rholder/retrying,NonML,2018-05-07,2020-05-07,31,1373,5,0
riptano/ccm,NonML,2019-06-05,2021-06-05,575,1723,195,23
rmax/scrapy-redis,NonML,2019-06-15,2021-06-15,376,459,789,9
rs/pushd,NonML,2018-07-16,2020-07-16,28,1362,44,0
ryanmcgrath/twython,NonML,2019-02-07,2021-02-07,92,1634,8,4
saghul/pyuv,NonML,2018-05-01,2020-05-01,124,1379,66,0
samgiles/slumber,NonML,2018-07-17,2020-07-17,33,1436,15,2
satori-com/tcpkali,NonML,2017-04-09,2019-04-10,157,970,62,0
scanmem/scanmem,NonML,2019-02-01,2021-02-01,284,1227,3,1
scoder/lupa,NonML,2019-04-05,2021-04-05,141,1686,124,45
sdiehl/write-you-a-haskell,NonML,2019-01-12,2021-01-12,23,1648,0,0
seb-m/pyinotify,NonML,2018-07-03,2020-07-03,21,1413,0,0
sebleier/django-redis-cache,NonML,2019-03-26,2021-03-26,158,1672,139,25
selwin/python-user-agents,NonML,2019-05-22,2021-05-22,72,1752,8,10
serverdensity/python-daemon,NonML,2017-12-05,2019-12-06,19,1092,0,0
sfzhang15/RefineDet,NonML,2015-11-19,2017-11-19,7,0,0,0
simplejson/simplejson,NonML,2019-01-04,2021-01-04,297,1587,10,45
snare/voltron,NonML,2019-05-25,2021-05-25,154,1739,17,3
solusipse/fiche,NonML,2019-04-24,2021-04-24,79,1642,4,0
source-foundry/Hack,NonML,2016-02-23,2018-02-23,432,195,97,36
sripathikrishnan/redis-rdb-tools,NonML,2019-06-03,2021-06-03,118,1752,22,0
srsudar/eg,NonML,2019-05-04,2021-05-04,65,1624,18,0
srvrco/getssl,NonML,2016-12-06,2018-12-07,150,761,7,9
sunainapai/makesite,NonML,2019-01-04,2021-01-04,42,1023,8,6
tdryer/hangups,NonML,2018-11-18,2020-11-18,358,1519,24,2
toastdriven/restless,NonML,2019-05-12,2021-05-12,120,1647,9,7
tortilla/tortilla,NonML,2018-12-30,2020-12-30,50,1614,29,0
trentm/node-bunyan,NonML,2018-06-28,2020-06-28,112,1211,73,3
typelift/SwiftCheck,NonML,2018-06-30,2020-06-30,319,1431,30,0
ukdtom/WebTools.bundle,NonML,2015-07-26,2017-07-26,3,0,0,0
ustream/openduty,NonML,2017-01-15,2019-01-16,32,801,3,0
vektah/CodeGlance,NonML,2015-03-12,2017-03-12,15,106,0,0
viewflow/django-fsm,NonML,2019-03-30,2021-03-30,132,1686,37,0
wesm/feather,NonML,2019-02-05,2021-02-05,225,1652,8,9
what-studio/profiling,NonML,2018-08-25,2020-08-25,45,1425,40,12
wireservice/agate,NonML,2019-03-11,2021-03-11,245,1704,254,83
wisk/medusa,NonML,2017-09-16,2019-09-17,109,1142,0,21
wq/django-rest-pandas,NonML,2019-01-29,2021-01-29,53,1616,15,8
wummel/linkchecker,NonML,2018-10-25,2020-10-25,81,1485,23,1
yougov/mongo-connector,NonML,2019-02-02,2021-02-02,299,1637,5,0
zardus/ctf-tools,NonML,2018-07-15,2020-07-15,228,1430,328,230
