file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,Travis Error,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\522724562.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\523939800.txt,['General script Error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\523939801.txt,['General script Error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\523939809.txt,['General script Error'],"[],['Test Collection Error']","[],['Test Collection Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\524452716.txt,[],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\524452720.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\524455446.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\525607857.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\525613653.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\525614481.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\525635633.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527747370.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527747371.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527747374.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527747375.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527819317.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527819318.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527819321.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\527819322.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528086782.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528086786.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528087765.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528087769.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528089365.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528141903.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528202855.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528202856.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528202859.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
