repoUrl,failCommit,passCommit,mainProblem,allProblems,problemBuildState
git://github.com/bigmlcom/python.git,d4a0f9c5298fa027f528fa3cba8656464fa925a9,a98e1628dda75d7749a3937afeeb8232c055f867,TravisFail,['TravisFail'; 'TravisFail'; 'BuildError'; 'TravisFail'; 'TravisFail'; 'TravisFail'; 'TravisFail'; 'TravisFail'; 'TravisFail'; 'BuildError'; 'TravisFail'; 'TravisFail'; 'TravisFail'; 'TravisFail'],failed
git://github.com/bigmlcom/python.git,e71a14f83bc7feb32f4f1c3319124a1938fc61a7,bc056bdadc3c87bc097a22f36ead675c4464a981,TestFail,['TestFail'; 'TestError'],failed
git://github.com/bigmlcom/python.git,5bac0e30172d4259d09a316ecec09aeb7ceb5793,d5e820efdceb411278f0fa79aeeeb26ef553cd56,TestError,['TestError'; 'TestError'; 'BuildError'; 'TestError'; 'TestError'; 'BuildError'],failed
git://github.com/bigmlcom/python.git,9dc1be98ca30ac05b5a2b79b0a9a11bd87516391,f4e3e1dc0e75fd10515b06cd19998f03a497bbcf,TestFail,['TestFail'; 'TestFail'],failed
git://github.com/BLKSerene/Wordless.git,281d32ac63714273e5eec0cf92fe732110f6c1ec,7e0aa2fde57921e03c1f185dd13efcb40f24ea8a,log not found,['log not found'; 'log not found'; 'log not found'],failed
git://github.com/BLKSerene/Wordless.git,7415a3ae4cb099f545a5e6ee9fe5fb159ce39bec,355da50a491e5796731d2743a4e9daca9369f7f5,log not found,['log not found'],failed
git://github.com/BLKSerene/Wordless.git,76b18fdf1e684f9c13ba448ba64434fdba47c82d,f0822bac9955166641ccc4ae1e782e4eaeec4c5b,log not found,['log not found'; 'log not found'; 'log not found'],failed
git://github.com/BloodAxe/pytorch-toolbelt.git,3eaeea6ef6031889c4e5565c67bf3651d9700d24,4642502358b0daaa8056b67174e67e520e4b4f23,FailMarkedAsError,['FailMarkedAsError'],errored
git://github.com/cbg-ethz/pybda.git,d0a45135f566b643fc70c803a18bee1d32de8c3a,28d61e79780641f3b236236a1724a3efdaffd3b0,TestError,['TestError'],failed
git://github.com/chainer/onnx-chainer.git,8c03492f62bd2ccc40bc9ec644c2a6680c2d27c5,f2c11c7cbadd7d98128e906be11e2f2b97678ef6,TestError,['TestError'; 'TestError'; 'TestError'; 'TestError'],failed
git://github.com/chainer/onnx-chainer.git,09e84a0789cd8daf913b44bd950189de8e19d607,a82ec5746a3e1d81180e2bf2fdb38f323c8217a9,CodeAnalysisError,['CodeAnalysisError'; 'CodeAnalysisError'; 'CodeAnalysisError'; 'CodeAnalysisError'],failed
git://github.com/chainer/onnx-chainer.git,2b412d8a0d4c040644491bfb2aba6b593591e8fe,10964bcb5f0d01e135a656dbd708661e73ef4746,TestFail,['TestFail'; 'TestFail'; 'TestFail'; 'TestFail'],failed
