ProjectName,Build Tools,CI tools,Deployment Automation,Monitoring and Logging,Analyzer,Test
csxeba/brainforge,0,0,0,0,0,0
d4l3k/go-bayesopt,0,1,0,0,0,0
danielelic/deep-segmentation,0,0,0,0,0,0
daormar/thot,0,0,0,0,0,0
datamade/usaddress,1,1,0,0,0,0
datquocnguyen/RDRPOSTagger,0,0,0,0,0,0
davisking/dlib,1,1,0,0,1,1
dblalock/bolt,0,0,0,0,0,0
ddbourgin/numpy-ml,1,0,0,0,0,0
deepmind/lab,0,1,0,0,0,1
delph-in/pydmrs,1,0,0,0,0,0
delzac/cntkx,0,0,0,0,0,1
denissimon/prediction-builder,0,0,0,0,0,0
denissimon/prediction-builder-swift,0,0,0,0,0,0
denizyuret/Knet.jl,1,1,0,0,0,0
devmount/GermanWordEmbeddings,0,0,0,0,0,0
dice-group/LIMES,1,1,1,0,0,1
dkpro/dkpro-cassis,1,1,0,0,1,0
dkpro/dkpro-core,1,0,0,0,0,1
dmitryikh/leaves,0,1,0,0,0,0
dmlc/dgl,1,1,0,0,1,1
dmlc/gluon-cv,1,1,0,0,1,0
dmlc/xgboost,1,1,1,0,1,1
dneprDroid/TFSecured,0,0,0,0,0,0
dotnet/infer,0,0,0,0,0,1
dotnet/machinelearning,0,1,0,0,1,1
dotnet/mbmlbook,0,0,0,0,0,0
dssg/triage,1,1,1,0,1,1
eBay/nvidiagpubeat,1,0,0,0,0,0
eantcal/nunn,0,1,0,0,0,0
ebu/benchmarkstt,1,0,1,0,0,1
ecohealthalliance/EpiTator,1,1,0,0,1,0
electronick1/stepist,0,0,0,0,0,0
eliorc/denzel,1,0,1,0,0,0
elki-project/elki,1,1,0,0,0,1
epic-kitchens/epic-lib,1,0,0,0,0,0
epwalsh/nlp-models,1,0,0,0,1,0
eriklindernoren/Keras-GAN,0,0,0,0,0,0
esimov/pigo,1,1,0,0,0,0
espnet/espnet,1,1,1,0,1,1
etaler/Etaler,1,0,1,0,1,0
exectails/Yggdrasil,0,1,0,0,0,1
exelban/tensorflow-cifar-10,0,0,0,0,0,0
explosion/spaCy,1,1,0,0,1,1
explosion/spacy-models,0,0,0,0,1,0
explosion/thinc,1,0,0,0,1,1
fabianmax/ML-Automation,0,0,0,0,0,0
fablabbcn/smartcitizen-iscape-data,1,0,1,0,0,0
facebookresearch/flashlight,1,0,0,0,1,1
facebookresearch/wav2letter,0,0,1,0,1,0
familyld/DeepCF,0,0,0,0,0,0
fastnlp/fastNLP,1,1,0,0,1,0
feedly/transfer-nlp,1,1,0,0,0,0
feifeibear/SWCaffe,1,0,1,0,1,1
fergiemcdowall/search-index,0,1,0,0,0,0
flennerhag/mlens,1,1,0,0,1,0
foo123/FILTER.js,0,0,0,0,0,0
fukatani/stacked_generalization,0,1,0,0,0,0
fukuball/jieba-php,0,1,0,0,0,0
funkey/gunpowder,1,1,1,0,0,0
fwilliams/fml,0,0,0,0,0,0
gao-lab/Cell_BLAST,1,0,0,0,0,0
gojek/feast,1,0,1,0,1,1
golsun/SpaceFusion,0,0,0,0,0,0
google/uis-rnn,0,1,0,0,1,0
google/voice-builder,0,0,1,0,0,0
googleapis/dialogflow-python-client-v2,1,0,0,0,1,0
googleapis/nodejs-dialogflow,0,0,0,0,0,0
googleapis/nodejs-speech,0,0,0,0,0,0
googleapis/nodejs-translate,0,0,0,0,0,0
googleapis/nodejs-vision,0,0,0,0,0,0
gorgonia/gorgonia,0,0,0,0,0,0
gosha20777/keras2cpp,0,1,0,0,0,0
goulu/Goulib,1,1,0,0,0,0
graknlabs/kglib,1,0,0,0,0,0
graphik-team/graal,1,1,0,0,0,1
greyblake/whatlang-rs,0,1,1,0,0,0
gunthercox/ChatterBot,1,1,0,0,1,1
guokr/Caver,1,1,0,0,0,0
harujoh/KelpNet,0,1,0,0,0,0
hav4ik/Hydra,0,0,0,0,0,0
haythamfayek/MatDL,1,0,0,0,0,0
hazimehh/L0Learn,0,1,0,0,0,0
hcmlab/nova,0,0,0,0,0,0
hli1221/imagefusion_deeplearning,0,0,0,0,0,0
hscspring/AIToolBox,0,0,0,0,0,0
huanglianghua/open-vot,0,0,0,0,0,0
huggingface/pytorch-pretrained-BERT,1,0,1,0,1,0
huseinzol05/Malaya,1,1,1,0,0,0
iamDecode/sklearn-pmml-model,1,1,0,0,0,0
ibayer/fastFM,1,1,0,0,0,0
ibnmalik/ibnmalik,0,0,0,0,0,0
ichibod/object-detection-for-coreml,0,0,0,0,0,0
inferno-pytorch/inferno,1,1,0,0,0,0
inspirehep/magpie,0,1,0,0,0,0
intel-analytics/BigDL,1,1,1,0,0,1
intel/MLSL,1,0,0,0,0,0
intel/clDNN,1,0,0,0,0,1
intel/mkl-dnn,1,0,0,0,1,1
intelligo-systems/intelligo,0,0,0,0,1,0
intelligo-systems/neuro.js,0,0,0,0,0,0
iterative/dvc,1,0,1,0,1,1
iver56/audiomentations,0,0,0,0,1,0
jackdh/RasaTalk,0,1,1,0,1,0
james-bowman/nlp,0,1,0,0,0,0
janhuenermann/neurojs,0,0,0,0,0,0
jcarreira/cirrus,1,1,0,0,1,0
jdermody/brightwire,0,0,0,0,0,0
jeeliz/jeelizFaceFilter,0,0,0,0,0,0
jeeliz/jeelizWeboji,0,0,1,0,0,0
jefkine/zeta-learn,1,0,0,0,0,0
jenetics/jenetics,0,1,0,0,0,1
jevois/jevois,1,0,0,0,0,0
jfilter/text-classification-keras,1,1,0,0,0,0
jgreitemann/svm,0,0,0,0,0,0
jmaggio14/imagepypelines,1,1,0,0,1,0
jmschrei/pomegranate,1,1,0,0,0,0
jmwoloso/pychattr,0,0,0,0,0,0
jnbraun/bcnn,0,1,0,0,1,0
johnolafenwa/TorchFusion,0,0,0,0,0,0
johnolafenwa/TorchFusion-Utils,0,0,0,0,0,0
jonghough/jlearn,0,0,0,0,0,0
jpuigcerver/Laia,0,1,1,0,0,0
jtablesaw/tablesaw,1,1,0,0,0,1
jubatus/jubatus,1,1,1,0,0,1
jxx123/fireTS,1,0,0,0,0,0
kakao/n2,1,1,0,0,0,0
kalekiu/easyesn,0,0,0,0,0,0
karolzak/keras-unet,0,0,0,0,0,0
kaushalshetty/FeatureSelectionGA,1,0,0,0,0,0
kavgan/ROUGE-2.0,1,0,0,0,0,0
kavgan/word_cloud,0,0,0,0,0,0
kawatan/Megalopolis,0,0,0,0,0,0
keithjjones/malgazer,0,0,1,0,0,0
kendryte/nncase,1,1,0,0,1,0
kengz/SLM-Lab,0,0,1,0,1,1
kermitt2/delft,0,1,0,0,0,1
koala-ai/tensorflow_nlp,0,0,0,0,0,0
kortirso/elixir_learn_kit,0,0,0,0,0,0
koulanurag/conformal,0,0,0,0,0,0
ku-nlp/jumanpp,1,1,0,0,1,0
kundajelab/dragonn,0,1,1,0,0,0
lRomul/argus,1,0,1,0,0,0
lai-bluejay/diego,0,1,0,0,0,0
lambdaloop/anipose,1,0,0,0,0,0
lambdaofgod/findkit,0,0,0,0,0,0
lang-ai/langai-node,0,1,0,0,0,0
laresbernardo/lares,0,1,0,0,0,0
larq/larq,1,0,0,0,1,0
leopiney/tensor-safe,1,0,0,0,0,0
liashchynskyi/skynet,0,0,0,0,0,0
limbo018/DREAMPlace,1,0,1,0,0,1
linkedin/Avro2TF,1,1,0,0,0,0
lionsoul2014/jcseg,1,0,0,0,0,0
lisitsyn/tapkee,1,0,1,0,1,0
