RepoName;TravisAndGHMatch;Intersection;TravisOnly;GithubOnly
LanguageMachines/libfolia;True;c++;;makefile,m4,c,shell
shogun-toolbox/shogun;True;c++;;batchfile,shell,cmake,matlab,dockerfile,makefile,gdb,html,python,assembly,c,swig
CrowdTruth/CrowdTruth-core;True;python;;html,javascript,jupyter notebook,css
cltk/cltk;True;python;;makefile,jupyter notebook
kermitt2/delft;True;python;;
tensorflow/cleverhans;True;python;;shell,makefile,dockerfile,jupyter notebook,html
ecohealthalliance/EpiTator;True;python;;
Jopepato/SMiLE;True;python;;jupyter notebook
rsokl/MyGrad;True;python;;
chakki-works/seqeval;True;python;;perl
alan-turing-institute/skpro;True;python;;
openml/openml-tutorial;True;;node_js;smarty,jupyter notebook,css,html,javascript
exectails/Yggdrasil;True;;csharp;c#
NIHOPA/NLPre;True;python;;
biolab/orange3-educational;True;python;;html,javascript
SciSharp/SiaNet;True;;csharp;c++,c#,css,c
CogComp/lbjava;True;java;;yacc,groovy,vim script,shell
FidoProject/Fido;True;c++;;batchfile,makefile,c,shell
ClarityNLP/ClarityNLP;True;python;;antlr,c#,shell,makefile,tsql,dockerfile,jupyter notebook,css,c++,html,javascript
scikit-learn/scikit-learn;True;python;;batchfile,shell,makefile,c++,c
wmkouw/libTLDA;False;;generic;matlab,makefile,python
boost-R/mboost;True;r;;php,shell,css,html,tex,c
root-project/root;True;c++,python;;roff,powershell,glsl,emacs lisp,perl,batchfile,smarty,makefile,jupyter notebook,html,objective-c++,c,ocaml,dockerfile,cuda,css,xslt,javascript,go,c#,vim script,applescript,fortran,cmake,shell,r,starlark,nasl,objective-c,swig
northwesternmutual/ai-challenge;True;;node_js;javascript,dockerfile
d4l3k/go-bayesopt;True;go;;
greyblake/whatlang-rs;True;rust;;html,ruby
openml/openml-python;True;python;;batchfile,dockerfile,makefile,shell
Tyill/skynet;True;c++;;c#,shell,cmake,cuda,python,c
nielstron/quantulum3;True;python;;shell
chainer/chainer;True;python;;batchfile,shell,cmake,dockerfile,cuda,c++,powershell,c
openml/automlbenchmark;True;python;;jupyter notebook,r,shell
vzhou842/profanity-check;True;python;;
pytorch/vision;True;python;;batchfile,c,shell,cmake,dockerfile,cuda,c++,java,objective-c++,powershell,objective-c
montanaflynn/stats;True;go;;makefile
primitiv/primitiv;False;;None;common lisp,cool,cmake,shell,cuda,c++,c
eantcal/nunn;True;c++;;cmake,inno setup,shell
versilov/matrex;True;elixir;;makefile,python,jupyter notebook,c
jenetics/jenetics;True;java;;batchfile,shell,css,c++,html,python,tex,javascript,gnuplot,kotlin
rai-project/caffe;False;;None;makefile,go,shell
WeBankFinTech/FATE;True;;bash;lua,dockerfile,python,shell
raamana/neuropredict;True;python;;makefile
nlgranger/SeqTools;True;python;;c,tex
google/uis-rnn;True;python;;shell
antoinecarme/pyaf;True;python;;makefile,r,shell
Rostlab/nalaf;True;python;;
mratsim/Arraymancer;False;;c;nim,julia,python,ruby
laresbernardo/lares;True;r;;
gosha20777/keras2cpp;True;python;;c++,cmake
webfirmframework/wff;True;java;;javascript
SekouD/mlconjug;True;python;;makefile
Pseudomanifold/Aleph;True;c++;;cmake,dockerfile,python,shell
symisc/sod;True;c;;html,makefile
rasbt/mlxtend;False;;generic;python,tex,shell
datamade/usaddress;True;python;;
scikit-multiflow/scikit-multiflow;True;python;;shell,makefile,dockerfile,jupyter notebook,c++
aksnzhy/xlearn;True;c++;;batchfile,shell,cmake,makefile,dockerfile,python,m4,r,c
microsoft/LightGBM;True;c++;;shell,cmake,cuda,powershell,python,m4,r,c,swig
kundajelab/dragonn;True;python;;dockerfile,jupyter notebook,shell
LLNL/lbann;True;c++;;shell,cmake,dockerfile,cuda,python,nasl
MaxHalford/prince;True;python;;r
intel-analytics/BigDL;True;java;;shell,lua,dockerfile,scala,robotframework,python
openml/OpenML;True;php;generic;batchfile,shell,hack,javascript,css,html,python,processing
explosion/spaCy;True;python;;sass,jinja,shell,makefile,html,javascript
pixiedust/pixiedust;True;python;;batchfile,smarty,makefile,scala,jupyter notebook,css,html,java,javascript
amadeus4dev/amadeus-node;True;;node_js;javascript
ibayer/fastFM;False;;c;makefile,python,shell
RasaHQ/rasa_core;True;python;;makefile,dockerfile,html,shell
inspirehep/magpie;True;python;;
baidu/Familia;True;c++;;makefile,dockerfile,python,shell
lucasrodes/whatstk;True;python;;shell
AtheMathmo/rusty-machine;True;rust;;
jnbraun/bcnn;True;c;;cmake,c++,cuda,assembly
rosette-api/python;True;python;;css
dmlc/xgboost;False;;None;batchfile,shell,cmake,makefile,dockerfile,scala,cuda,c++,java,groovy,python,m4,r,c
csukuangfj/OpenCNN;True;c++;;cmake,starlark,python,shell
apache/incubator-mxnet;False;;None;shell,cmake,makefile,dockerfile,jupyter notebook,cuda,c++,java,powershell,groovy,python,r,c
goulu/Goulib;True;python;;batchfile,jupyter notebook,shell
LearnLib/learnlib;True;java;;html,python,shell
ray-project/ray;False;;generic;smarty,typescript,shell,makefile,dockerfile,jupyter notebook,css,c++,java,html,python,starlark,javascript,c
fastnlp/fastNLP;True;python;;jupyter notebook,shell
TechPrimers/core-nlp-example;True;java;;
feedly/transfer-nlp;True;python;;shell
KotlinNLP/SimpleDNN;False;;java;kotlin
scikit-learn-contrib/hdbscan;True;python;;jupyter notebook,tex,shell
JuliaML/Learn.jl;True;julia;;
bhargavvader/pycobra;True;python;;tex
chopralab/lemon;True;c++;;perl,shell,cmake,powershell,python
wkcn/MobulaOP;True;python;;c++,c,shell
gunthercox/ChatterBot;True;python;;
vertexclique/orkhon;True;python;;rust,powershell,shell
jfilter/text-classification-keras;True;python;;
openopt/copt;True;python;;shell
OpenANN/OpenANN;True;c++;;cmake,python,c,shell
bamos/block;True;python;;
RGF-team/rgf;False;;generic;perl,shell,cmake,makefile,dockerfile,jupyter notebook,logos,c++,powershell,python,r,yacc
GRAAL-Research/poutyne;True;python;;jupyter notebook,tex,shell
lai-bluejay/diego;True;python;;shell
funkey/gunpowder;True;python;;makefile,dockerfile
1adrianb/face-alignment;True;python;;dockerfile
bakercp/ofxDlib;True;c++;;makefile,shell
rai-project/tensorflow;True;go;;makefile,html,python,shell
jubatus/jubatus;True;c++;;shell,makefile,ocaml,dockerfile,python,standard ml
bmcfee/muda;True;python;;shell
proycon/foliapy;True;python;;shell
scikit-learn-contrib/imbalanced-learn;True;python;;batchfile,makefile,tex,shell
mlpack/ensmallen;True;c++;;cmake,shell
scikit-learn-contrib/polylearn;True;python;;batchfile,powershell,makefile,shell
KxSystems/nlp;False;;c;perl,batchfile,raku,q,dockerfile,openedge abl,terra
nschaetti/EchoTorch;True;python;;jupyter notebook
mwydmuch/ViZDoom;True;c++;;postscript,roff,lex,dockerfile,python,batchfile,c,shell,cmake,html,objective-c++,qmake,tex,assembly,yacc,swig
RaRe-Technologies/gensim;True;python;;shell,jupyter notebook,gdb,c++,c
unagiootoro/ruby-dnn;True;ruby;;c
jtablesaw/tablesaw;True;java;;html,shell
xmartlabs/Bender;True;swift;;metal,objective-c,ruby
stanfordnlp/CoreNLP;True;java;;perl,batchfile,common lisp,shell,makefile,lex,ruby,css,html,python,javascript
OlafenwaMoses/ImageAI;True;python;;
shi510/mlfe;True;c++;;shell,cmake,dockerfile,cuda,python,c
JohnSnowLabs/spark-nlp;True;scala;node_js;java,html,python,shell
flennerhag/mlens;True;python;;shell
patrikhuber/eos;True;c++;;matlab,cmake,python
owulveryck/onnx-go;True;go;;makefile,purebasic,shell
modern-fortran/neural-fortran;False;;c;cmake,python,fortran
roberino/linqinfer;True;;csharp;batchfile,c#,shell,html,powershell,smalltalk
ku-nlp/jumanpp;True;c++;;perl,shell,cmake,ruby,python,emacs lisp
esimov/pigo;True;go;;shell,makefile,css,html,python,c
nanxstats/enpls;True;r;;css
tiny-dnn/tiny-dnn;True;c++;;cmake,dockerfile,c,shell
triagemd/model-converters;True;python;;shell
proycon/pynlpl;True;python;;c++,shell
onnx/onnx-caffe2;True;python;;shell
oracle/Skater;True;python;;shell
undertheseanlp/underthesea;True;python;;makefile
pfnet-research/menoh;True;c++;;batchfile,shell,cmake,python,c
jpuigcerver/Laia;False;;c;perl,shell,lua,dockerfile,python,r
XiaoMi/mace;True;c++;;smarty,jinja,shell,cmake,dockerfile,html,python,starlark,c
crcollins/molml;True;python;;
davisking/dlib;False;;None;batchfile,perl,shell,cmake,makefile,matlab,cuda,c++,java,python,xslt,c
LanguageMachines/timbl;True;c++;;makefile,m4,shell
openml/openml-r;True;r;;jupyter notebook,rebol
autonomio/kerasplotlib;True;python;;
elki-project/elki;True;java;;batchfile,python,glsl,shell
nanxstats/protr;True;r;;css
thu-ml/zhusuan;True;python;;
dmitryikh/leaves;True;go;;python,shell
alfredfrancis/ai-chatbot-framework;True;python;;typescript,makefile,dockerfile,css,html,javascript
medtagger/MedTagger;False;;None;scss,smarty,typescript,mako,shell,makefile,dockerfile,html,hcl,python,javascript
BehaviorTree/BehaviorTree.CPP;True;c++;generic,python;cmake,shell
snipsco/snips-nlu;True;python;;
tspooner/rsrl;True;rust;;
morinim/vita;True;c++;;cmake,mql5,python,emacs lisp,c
DeNA/ChainerPruner;True;python;;dockerfile,shell
chakki-works/sumeval;True;python;;
dssg/triage;True;python;;mako,shell,dockerfile,jupyter notebook,plpgsql
jmaggio14/imagepypelines;True;python;;
thehyve/tmtk;True;python;;html,r,javascript,css
EducationalTestingService/skll;True;python;;powershell
usnistgov/jarvis;True;nix;;ampl,python,shell
rdk/p2rank;True;groovy;;batchfile,tcl,java,shell
vkuznet/TFaaS;True;go;;scss,shell,makefile,dockerfile,css,html,c++,python,javascript,purebasic
dkpro/dkpro-cassis;True;python;;makefile
amzn/xfer;True;python;;makefile,shell
BIMSBbioinfo/maui;True;python;;jupyter notebook
amadeus4dev/amadeus-java;True;java;;
amadeus4dev/amadeus-ruby;True;ruby;;
microsoft/ConversationLearner-Models;True;;node_js;typescript
abadojack/whatlanggo;True;go;;
CPJKU/madmom;True;python;;
kakao/n2;True;python;;makefile,jupyter notebook,c++,go,swig
JohnVinyard/zounds;True;python;;html,javascript,dockerfile,shell
nokitjs/nokit;True;;node_js;batchfile,visual basic,shell,css,html,javascript
ysig/GraKeL;True;python;;batchfile,shell,jupyter notebook,c++,c
proycon/colibri-core;True;python;;shell,makefile,jupyter notebook,c++,m4,tex
alvations/wordnet;True;python;;tex,shell
Thenerdstation/mltest;True;python;;
CBICA/CaPTk;True;c++;;batchfile,shell,matlab,cmake,dockerfile,css,html,python,common workflow language,c
hazimehh/L0Learn;False;;R;shell,c++,m4,r,c
microsoft/MMdnn;True;python;;typescript,shell,css,html,javascript
chainer/chainerrl;True;python;;shell
patrickschur/language-detection;True;php;;
Robbepop/prophet;True;rust;;
deepmind/lab;True;c++;;perl,yacc,roff,shell,lua,makefile,assembly,html,python,glsl,starlark,objective-c,shaderlab,c
james-bowman/nlp;True;go;;
Kitware/SMQTK;True;python;;dockerfile,cuda,css,c++,m4,javascript,pug,turing,stylus,makefile,shell,cmake,jupyter notebook,matlab,java,html,tex,c
pfnet-research/menoh-ruby;True;ruby;;dockerfile,c,shell
vzhong/embeddings;True;python;;dockerfile,shell
sekia/Algorithm-LibLinear;True;perl;;c++,c,xs
DeepMLNet/DeepNet;True;;csharp;batchfile,c#,shell,f#,cuda,html,powershell,python
DynaSlum/satsense;True;python;;jupyter notebook
SmartDataAnalytics/BioKEEN;True;python;;jupyter notebook
skorch-dev/skorch;True;python;;dockerfile,jupyter notebook,shell
thombashi/pytablewriter;True;python;;makefile
mdbloice/Augmentor;True;python;;jupyter notebook
Tw1ddle/needs-ai-lib;True;haxe;;batchfile,javascript,css,shell
tensorflow/tensor2tensor;True;python;;shell,jupyter notebook,html,c++,javascript
azu/nlp-pattern-match;True;;node_js;javascript,typescript
DigitalSlideArchive/HistomicsTK;True;python;;cmake,dockerfile,shell
jmschrei/pomegranate;True;python;;makefile,jupyter notebook,shell
plstcharles/thelper;True;python;;makefile,dockerfile,c,shell
majianjia/nnom;True;python;;c
boost-R/gamboostLSS;True;r;;shell
yasserfarouk/negmas;True;python;;shell,makefile,jupyter notebook,css,html,xslt,javascript
AdamStelmaszczyk/gtsa;True;c++;;makefile
therfoo/therfoo;True;go;;
LanguageMachines/ucto;True;c++;;coq,newlisp,shell,makefile,python,m4,verilog
archilogic-com/3dio-js;True;;node_js;css,html,glsl,javascript,less
TeamHG-Memex/eli5;True;python;;html,jupyter notebook,shell
nickgillian/grt;True;c++;;shell,cmake,makefile,html,groovy,python,qmake,processing
wq2012/SimpleDER;True;python;;shell
bakwc/JamSpell;True;c++;;shell,cmake,python,c,swig
rabidgremlin/Mutters;True;java;;
annoviko/pyclustering;False;;generic;shell,makefile,cmake,c++,powershell,python,tex,c
lang-ai/langai-node;True;;node_js;typescript
C5T/Current;True;c++;;typescript,c,shell,makefile,f#,objective-c++,html,javascript,objective-c
sangwook236/SWL;False;;generic;batchfile,shell,cmake,matlab,m,cuda,css,c++,html,python,tex,objective-c,c
amadeus4dev/amadeus-python;True;python;;makefile
nilearn/nilearn;True;python;;makefile,javascript,html,shell
catboost/catboost;True;python;;roff,rust,m4,io,batchfile,perl,smarty,typescript,makefile,java,html,clean,assembly,c,dockerfile,scala,cuda,css,ragel,c++,javascript,php,c#,fortran,shell,cmake,digital command language,r,tex,nasl,swig
rai-project/mxnet;False;;None;makefile,python,shell,go
bsc-wdc/dislib;True;python;;dockerfile,jupyter notebook,shell
yooper/php-text-analysis;True;php;;shell
openvenues/libpostal;True;c;;shell,makefile,c++,python,m4
yzhao062/pyod;True;python;;jupyter notebook
